first_name,last_name,dob,company_id,last_active,score,member_since,state
Robert,Mclaughlin,1967/03/26,3,2018/08/25,57,2013,OR
Brittany,Norris,1972/09/06,12,2018/03/29,73,1986,MD
Sharon,Nichols,1971/04/19,7,2018/04/11,92,1985,WY
Christopher,Ware,1977/05/25,11,2018/07/20,74,2003,PA
Kevin,Scott,1981/12/15,8,2018/11/20,42,1994,MN
Randall,Hendricks,1979/12/01,14,2018/08/23,85,1972,SC
Lauren,Page,1995/03/22,20,2018/07/25,95,2016,ID
Franklin,Wilson,1969/10/11,11,2018/12/16,43,1990,GA
Timothy,Wilson,1980/05/14,2,2018/01/14,38,1996,MS
Brandon,Roberts,1990/04/28,4,2018/07/13,72,1984,DC
Elizabeth,Ramos,1985/12/21,6,2018/02/23,44,1998,WA
Tracy,Bennett,1968/05/09,18,2018/10/18,74,2009,TX
Cameron,Lin,1971/07/11,14,2018/06/24,69,2018,NY
Joshua,Rivera,1975/09/19,9,2018/02/26,64,1977,MN
Kimberly,Gray,1971/11/24,7,2018/09/16,58,2004,SC
Kevin,Mitchell,1971/09/18,16,2018/09/06,91,2000,AR
David,Martin,1960/02/16,17,2018/11/05,79,2014,VT
Jasmine,Jones,1976/10/10,17,2018/10/15,51,1985,DC
Alec,Brown,1969/06/26,13,2018/06/30,86,1977,CA
Roger,Phillips,1973/09/12,17,2018/12/31,71,2015,IN
Daniel,Allen,1982/06/03,0,2019/01/04,73,1996,AZ
Patrick,Delacruz,1968/11/05,16,2019/01/06,45,1979,WA
Danielle,Jennings,1987/04/18,12,2018/01/26,87,2016,IN
Gabriel,Martin,1983/05/19,17,2018/12/29,72,1974,CT
Alison,Huff,1988/04/30,13,2018/01/13,71,1987,IN
Tyler,Adkins,1960/07/14,12,2018/12/26,54,1972,WI
Bryan,Carroll,1962/08/15,8,2018/05/04,86,2009,NE
Michael,Cook,1980/10/25,11,2018/08/30,81,1978,SC
Kara,Cook,1976/12/19,8,2018/10/03,73,1985,AL
Melissa,Hicks,1973/08/15,3,2018/11/19,58,1995,OK
Nathaniel,Allen,1984/02/02,6,2018/12/15,85,2003,WI
Brittany,King,1959/10/07,13,2018/08/25,89,2017,HI
Lisa,Smith,1986/02/16,19,2018/04/15,82,1973,WA
Robert,Dunn,1972/10/30,20,2018/12/23,73,1993,WV
Colleen,Moore,1965/01/12,6,2018/03/28,58,2017,PA
Ryan,Miller,1994/05/13,13,2018/01/28,62,1972,IN
Eric,Fuentes,1959/04/11,18,2018/09/21,84,1975,ME
Rebecca,Baker,1967/08/07,3,2018/04/25,40,2006,PA
Jennifer,Brown,1991/01/18,15,2018/02/16,77,2012,CO
Anthony,Blake,1959/09/15,17,2018/09/13,93,2005,KY
Frederick,Santiago,1965/04/19,5,2018/04/20,77,1998,NC
Brenda,Ward,1982/03/28,1,2018/04/16,90,1979,SC
Michael,Hernandez,1996/07/17,18,2018/09/26,45,2014,NM
Johnny,Garcia,1970/03/09,2,2018/10/12,50,1993,KS
James,Wilson,1994/09/18,10,2018/03/01,94,1987,CA
Cindy,Davenport,1973/02/12,2,2018/01/14,46,1999,DC
James,Bender,1998/02/25,8,2018/01/18,99,1976,LA
Michael,Hardin,1987/08/16,10,2018/10/12,33,1986,WA
Kendra,Leonard,1987/01/14,3,2018/07/21,96,1983,ID
Allen,Mcmillan,1969/04/07,13,2018/09/11,33,1981,WV
Allison,Petersen,1960/12/11,12,2018/03/26,33,2018,LA
Charles,Beasley,1976/07/08,3,2018/02/28,71,2001,LA
James,Wagner,1961/02/28,4,2018/04/22,87,2000,LA
Raymond,Smith,1994/02/09,17,2018/08/07,34,1993,ME
James,Martinez,1971/02/09,4,2018/03/19,58,2003,MT
Phillip,Davis,1986/05/26,10,2018/08/24,43,2005,AK
Sean,Ochoa,1973/06/09,4,2018/11/04,75,1975,CA
Michelle,Mitchell,1980/07/15,19,2018/07/17,51,2009,NV
Brandy,Lambert,1966/04/01,3,2018/08/13,94,2002,MI
Alexandria,Walker,1982/06/20,20,2018/12/27,69,2018,VT
Matthew,Lopez,1991/07/25,19,2018/10/20,90,2016,DE
Barbara,Gonzalez,1988/01/24,5,2018/07/07,61,2006,IL
Jeffrey,Lowe,1976/03/15,5,2018/06/02,70,1999,DC
Courtney,Silva,1991/07/08,2,2018/07/06,58,1975,NH
Lisa,Smith,1990/04/04,0,2018/12/08,47,1983,AR
Michael,Phillips,1980/05/06,18,2018/11/27,72,2000,ND
Shelly,Pham,1988/06/10,8,2018/02/01,49,1996,WI
April,Underwood,1965/01/03,13,2018/01/20,31,1974,NC
Misty,Patterson,1998/06/23,9,2018/12/16,47,2012,AZ
Riley,Graham,1961/11/19,2,2018/06/17,35,1979,NY
Rebecca,Vazquez,1961/02/09,16,2018/02/13,46,2011,AK
Taylor,Oliver,1971/07/21,10,2018/06/29,75,1987,AL
Michael,Allen,1987/04/11,10,2018/10/01,45,1988,IL
Chelsea,Sparks,1966/08/25,12,2018/05/09,98,2007,WV
Hayden,Carter,1968/09/23,3,2018/03/30,69,2005,OK
